"Observer","Date","Year","TimeInitial","TimeFinal","TransectNumber","Location","Site","Zone","Country","DepthInitial_m","DepthFinal_m","DepthMax_m","MidTransDepth_m","Latitude","Longitude","Temperature_C","Visibility_m","Genusspecies","SizeClass","SexClass","SpeciesPresOutTrans","Present"
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Calamusbrachysomus","15","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Chaetodonhumeralis",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Chromisatrilobata",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Epinephelusanalogus","20","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Epinephelusitajara",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Holocanthuspasser",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Hypsypopsrubicundus","20","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Hypsypopsrubicundus","10","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Hypsypopsrubicundus","30","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Johnrandallianigrirostris","10","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Mulloidichthysdentatus",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Mycteropercajordani",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Mycteropercaprionura",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Mycteropercarosacea",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Mycteropercaxenarcha",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Nicholsinadenticulata",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Paralabraxclathratus",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Paralabraxmaculatofasciatus","20","","1",1
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Paralabraxnebulifer",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Pomacanthuszonipectus",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Semicossyphuspulcher",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Stereolepisgigas",NA,NA,NA,0
"Norberto Velez","11/10/14","2014","4:05","4:11","11","ElProgresista","IslaMagdalena","Fished","Mexico","7.8","10.8","10.8","9.3","24.65971","-112.17742","25","9","Zancluscornutus",NA,NA,NA,0
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Anisotremusdavidsonii",NA,NA,NA,0
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Calamusbrachysomus",NA,NA,NA,0
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Chaetodonhumeralis","15","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Chaetodonhumeralis","15","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Chaetodonhumeralis","20","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chaetodonhumeralis","20","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chaetodonhumeralis","20","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Chaetodonhumeralis","20","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","ElProgresista","IslaMagdalena","Fished","Mexico","9","10.8","10.8","9.9","24.66169","-112.18153","25","9","Chromisatrilobata","10","","1",1
"Christian Alducin","11/10/14","2014","2:43","2:57","2","Garropas","IslaMagdalena","Reserve","Mexico","12","10.8","12","11.4","24.66169","-112.18153","25","9","Epinephelusanalogus",NA,NA,NA,0
